title,info,duration,instrumentation,year,buyLink,videoLink,buyMethod, price ,priceNotes,multipleParts
Oh! Susanna,An arrangement of Oh! Susanna.,2,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/KJuL1Elnj7o,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Battle Hymn of the Republic,An arrangement of Battle Hymn of the Republic.,2.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/0KU-_4TU28E,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
O Perfect Love,An arrangement of O Perfect Love by Joseph Barnby.,3,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/9WZM2QNt2xo,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Arirang,"An arrangement of Arirang, a Korean Folk Song. The variations are written with various levels of difficulty in mind. Performers may freely choose which variations to play, and are not obligated to play the full piece. ",5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/h2Lt_AL_rJs,SheetMusicPlus,$9.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Venetian Boat Song No. 1,An arrangement of Venetian Boat Song No. 1 from Mendelssohn's Songs Without Words.,2,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/HY7ucKaq4l4,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Wellerman,"An arrangement of the Wellerman song, a New Zealand Sea Song.",2.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/uIH2gZwYv9g,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Tarry With Me,An arrangement of Tarry With Me by Knowles Shaw.,2,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/vHXqnG5iI4w,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
The Washington Post (March),An arrangement of The Washington Post by Sousa. ,2.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/8_F0WaCBgMY,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
6 Gnossiennes,"An arrangement of the 6 Gnossiennes by Satie. Performers may freely choose which pieces to play, and are not obligated to play the full set. ",14.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/vlC7X_HP5fk,SheetMusicPlus,$9.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Danny Boy,An arrangement of Danny Boy.,4,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/0iVTvF3fT_U,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Drunken Sailor,"An arrangement of Drunken Sailor, a Sea Shanty. The variations go through the events of a drunken sailor, with variations starting sober and cheery, then becoming inebriated and sluggish (dotted rhythms and chromatic melodies), followed by drunk words of wisdom (an incomplete fugal idea), a second round of drinks, falling asleep, and ending with a big coda. The variations are written with various levels of difficulty in mind. Performers may freely choose which variations to play, and are not obligated to play the full piece. ",6.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/-ZEUfPNYE0U,SheetMusicPlus,$9.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Auld Lang Syne,"An arrangement of Auld Lang Syne, a Scottish Folk Song.",1.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/NZbe6Rn0cwI,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Arabesque (Burgmuller),An arrangement of Arabesque by Burgmuller.,1,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/NhIt1acPkjY,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Waltz in A Minor (Chopin),An arrangement of Waltz in A Minor by Chopin.,2,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/MDDBmD0f7f8,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Musette (Bach),An arrangement of Musette by Bach.,1,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/vKqobMYYUa4,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Whispering Hope,An arrangement of Whispering Hope by Septimus Winner.,1.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/JwgGQeXbgTc,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Paraphrase on Rhapsody in Blue,An arrangement of themes from Rhapsody in Blue by George Gershwin for two clarinets.,3,Clarinet Duet,2019,https://www.sheetmusicplus.com/en/product/paraphrase-on-rhapsody-in-blue-two-clarinets-23665947.html,https://youtu.be/ckhJICyYJY8,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,FALSE
Spring March,A march written in the month of March.,3,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/8zckj231hVo,SheetMusicPlus,$5.99 ,Original Work: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Spring March (String Orch),A march written in the month of March.,3,String Orchestra,2026,https://www.sheetmusicplus.com/en/product/spring-march-string-orchestra-23681761.html,https://youtu.be/K13lZemmQFs,SheetMusicPlus,$9.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Auld Lang Syne (Wind Octet),An arrangement of Auld Lang Syne for Wind Octet.,2,Wind Octet,2025,https://www.sheetmusicplus.com/en/product/auld-lang-syne-wind-octet-23681697.html,https://youtu.be/T3ZbT9xJioI,SheetMusicPlus,$9.99 ,Public Domain: Vendor 50% / Composer 50%,FALSE
Spring Waltz (String Orch),"A waltz adaptation of the Spring March, a march written in March for Spring.",3.5,String Orchestra,2026,https://www.sheetmusicplus.com/en/product/spring-waltz-string-orchestra-23682822.html,https://youtu.be/UWHYKOQP3-w,SheetMusicPlus,$9.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Suite in Bb Major,"""Suite in Bb Major"" is collection of short character pieces built around a common theme. The piece was commissioned by Jerry Robbins of the Ann Arbor Area Community Brass Choir.",10,Brass Choir,2025,https://www.sheetmusicplus.com/en/product/suite-in-bb-major-brass-choir-23683874.html,https://youtu.be/IhtrumM99aw,SheetMusicPlus,$11.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
